MATCH UP,W/L
HOU @ MIN,W
PHI @ ATL,L
ATL vs. PHI,W
NOH @ UTA,L
UTA vs. NOH,W
POR vs. DEN,L
DEN @ POR,W
TOR @ MIA,W
MIA vs. TOR,L
ORL vs. DAL,L
DAL @ ORL,W
CHA @ PHX,L
PHX vs. CHA,W
NYK vs. LAC,L
LAC @ NYK,W
WAS vs. LAL,L
LAL @ WAS,W
DAL @ DET,L
DET vs. DAL,W
SEA vs. NYK,W
NYK @ SEA,L
MEM vs. UTA,L
UTA @ MEM,W
CHA @ DEN,L
DEN vs. CHA,W
CHI @ SAC,L
SAC vs. CHI,W
MIL vs. HOU,L
HOU @ MIL,W
ATL vs. NJN,W
NJN @ ATL,L
IND vs. ORL,L
ORL @ IND,W
CLE vs. LAC,W
LAC @ CLE,L
TOR vs. LAL,L
LAL @ TOR,W
WAS vs. UTA,L
UTA @ WAS,W
MIN vs. LAC,W
LAC @ MIN,L
NOH @ SAC,L
SAC vs. NOH,W
IND vs. HOU,L
HOU @ IND,W
POR vs. NYK,W
NYK @ POR,L
NJN @ MIA,W
MIA vs. NJN,L
GSW vs. CHA,W
CHA @ GSW,L
PHI vs. ORL,L
ORL @ PHI,W
CLE @ SEA,L
SEA vs. CLE,W
LAL @ DET,L
DET vs. LAL,W
BOS vs. DAL,W
DAL @ BOS,L
SAS @ PHX,W
PHX vs. SAS,L
DEN @ MEM,W
MEM vs. DEN,L
TOR vs. WAS,W
WAS @ TOR,L
GSW @ NOH,W
NOH vs. GSW,L
MIN vs. CHI,W
CHI @ MIN,L
CHA @ SAC,L
SAC vs. CHA,W
NYK @ UTA,L
UTA vs. NYK,W
CLE @ POR,W
POR vs. CLE,L
MIA @ ORL,L
ORL vs. MIA,W
LAC vs. ATL,W
ATL @ LAC,L
MIL @ PHI,L
PHI vs. MIL,W
SEA vs. SAS,W
SAS @ SEA,L
TOR @ WAS,L
WAS vs. TOR,W
DET @ IND,W
IND vs. DET,L
MIA vs. BOS,L
BOS @ MIA,W
GSW @ HOU,L
HOU vs. GSW,W
MIL @ NJN,L
NJN vs. MIL,W
PHX vs. ATL,W
ATL @ PHX,L
CHI vs. MIN,W
MIN @ CHI,L
LAL vs. NYK,W
NYK @ LAL,L
MEM vs. DAL,L
DAL @ MEM,W
DEN @ NOH,L
NOH vs. DEN,W
SAS @ UTA,L
UTA vs. SAS,W
LAC vs. CHA,L
CHA @ LAC,W
SEA vs. SAC,L
SAC @ SEA,W
MIN vs. NJN,W
NJN @ MIN,L
DAL vs. DEN,W
DEN @ DAL,L
