TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL @ PHI,03/31/2012,L,240,90,35,74,47.3,4,14,28.6,16,22,72.7,7,28,35,20,7,2,10,19,-5
PHI,PHI vs. ATL,03/31/2012,W,240,95,37,77,48.1,6,12,50.0,15,19,78.9,9,32,41,25,4,4,11,16,5
DEN,DEN @ CHA,03/30/2012,W,240,99,38,73,52.1,2,17,11.8,21,29,72.4,9,40,49,29,4,7,25,21,11
CHA,CHA vs. DEN,03/30/2012,L,240,88,36,98,36.7,6,22,27.3,10,11,90.9,11,23,34,26,11,4,15,23,-11
TOR,TOR vs. MIA,03/30/2012,L,240,101,39,72,54.2,5,14,35.7,18,19,94.7,9,21,30,27,5,4,16,16,-12
MIA,MIA @ TOR,03/30/2012,W,240,113,44,77,57.1,5,14,35.7,20,24,83.3,11,19,30,26,11,5,8,16,12
PHI,PHI @ WAS,03/30/2012,L,240,76,30,82,36.6,3,14,21.4,13,17,76.5,10,28,38,19,5,3,10,11,-21
WAS,WAS vs. PHI,03/30/2012,W,240,97,42,87,48.3,7,17,41.2,6,6,100.0,12,40,52,26,5,7,14,16,21
MIN,MIN vs. BOS,03/30/2012,L,240,79,26,75,34.7,6,24,25.0,21,25,84.0,14,31,45,15,5,1,21,13,-21
BOS,BOS @ MIN,03/30/2012,W,240,100,44,90,48.9,4,12,33.3,8,11,72.7,13,32,45,29,9,3,9,22,21
ATL,ATL vs. NYK,03/30/2012,W,240,100,37,73,50.7,4,19,21.1,22,26,84.6,9,31,40,18,11,6,17,24,10
NYK,NYK @ ATL,03/30/2012,L,240,90,31,70,44.3,6,17,35.3,22,33,66.7,10,23,33,13,11,4,18,24,-10
SAC,SAC @ UTA,03/30/2012,W,240,104,39,90,43.3,4,16,25.0,22,32,68.8,16,32,48,16,7,10,11,27,1
UTA,UTA vs. SAC,03/30/2012,L,240,103,31,88,35.2,3,13,23.1,38,52,73.1,27,35,62,19,6,7,15,29,-1
CLE,CLE vs. MIL,03/30/2012,L,240,84,34,85,40.0,6,22,27.3,10,19,52.6,13,28,41,17,2,1,11,15,-37
MIL,MIL @ CLE,03/30/2012,W,240,121,50,88,56.8,10,16,62.5,11,18,61.1,11,41,52,32,9,3,6,18,37
MEM,MEM @ HOU,03/30/2012,L,240,89,35,94,37.2,1,15,6.7,18,26,69.2,23,22,45,10,13,5,7,19,-9
HOU,HOU vs. MEM,03/30/2012,W,240,98,38,73,52.1,7,14,50.0,15,20,75.0,7,35,42,18,5,9,16,21,9
